titulo;detalle;tipo;link;archivo;linkLabel;archivoLabel;qr;responsable
Flyer conceptual;Comprender de manera clara los términos básicos.;Artefacto;https://drive.google.com/open?id=1thIuZwfGSROkrXTdkzRdxgDOytwE-mbV;;;;;Sabrina Lamperti
Herramientas judiciales IA;Calcula plazos procesales, caducidad de instancia, mora y regula honorarios. Es de Nación, pero contiene herramientas útiles para la práctica judicial.;Aplicacion;https://javiercuneo.github.io/Herramientas-Judiciales-IA/;;;;;Javier Cuneo
Conjunto de herramientas para sede civil;Calculadoras, equivalencias y anonimizador. Enlace al repositorio para acceder a los HTML.;Repositorio;https://github.com/jglazarte/web;;;;;Guillermo Lazarte
Homologapp;Aplicación HTML para homologar acuerdos de pago en apremios: calcula tasa, sobretasa y aportes, e incluye una calculadora para verificar si los aportes están cumplidos.;Aplicacion;https://homologapp.netlify.app/;https://drive.google.com/open?id=17sM4fFcuISjeRRa5VUqQvkMT3OUlHxRB;;;;Juan Manuel Rilo
Regulapp;Calculadora para regular honorarios.;Aplicacion;https://regulaapp.netlify.app/;https://drive.google.com/open?id=1i2jE3OCN-mRX7WFo5pPOOgcdJBO6ctLD;;;;Juan Manuel Rilo
Analizador de Fallos;Analiza sentencias judiciales y genera resumen de hechos, fundamentos jurídicos y cuestiones relevantes.;Aplicacion;https://chatgpt.com/g/g-6942d7970c3c8191a754f16b051ecc80-analizador-de-fallos-amfm;;;;;Laboratorio IA - Asociación de Magistrados y Funcionarios de Morón
Ejercicios con IA;Prácticas iniciáticas para judiciales - Clase preparatoria.;Artefacto;https://claude.ai/public/artifacts/b24cc1dc-724f-42a1-ab57-6965dec3a125;;;;;Francisco Morell Otamendi
Anonimizador Judicial;Herramienta para anonimizar documentos judiciales. [Descargar y usar local];Aplicacion;https://drive.google.com/file/d/1ZZ4g4CRLjYgNZD-E_Ifdl-R286AAQ3d1/view?usp=drivesdk;;;;;Gabriel Hernán Quadri
Calculadora de honorarios Sucesiones;App para calcular honorarios en sucesiones.;Aplicacion;https://calculadora-honorarios-sucesiones.netlify.app/;https://drive.google.com/open?id=1i2jE3OCN-mRX7WFo5pPOOgcdJBO6ctLD;;;;M. Laura Monterubbianesi
Realidad Virtual aplicadas al proceso civil;Video de audiencia con realidad virtual que coloca a los testigos en la escena de los hechos sobre los que van a declarar - Fuero Civil y Comercial de La Plata.;Video;https://drive.google.com/file/d/1Vnc8Diy3PMAJ9d6YTzWREoHvjcT2OMvk/view?usp=drive_link;;;;;Guillermina Di Lucca
Sentencia Oral en determinación de capacidad;Video sobre una sentencia oral del Juzgado CyC n°23 en lenguaje claro y sencillo al justiciable, maximizando el rendimiento de MS-Teams como apoyo a la sentencia oral.;Video;https://drive.google.com/file/d/1uci9PTeexMhLI8IDtcDQ66adVEVClSep/view?usp=sharing;;;;;Guillermina Di Lucca
LLM-Wiki para Claude Code;Instalá el hack de Andrej Karpathy en Claude Code para optimizar tu agente y consumir menos tokens.;Articulo;https://docs.google.com/document/d/1UUdKN7N2DTSjDOxL5QrSB3oslsXDcqH83IrL71HrEY4/edit?usp=sharing;;;;;Francisco Morell Otamendi
Repositorio de Rodrigo Masson;Marco Normativo IA - Doctrina y Fallos.;Repositorio;https://drive.google.com/drive/folders/100BL72ORBtm6zdVLc7fJgXINmZdQaCht;;;;;Rodrigo Masson
Repositorio de Javier Heredia;Fallo: Mercado Pago como validador de identidad. Video explicativo. Sentencia clara con NotebookLM. Cómo firmar en Augusta con el celular.;Repositorio;https://drive.google.com/drive/folders/1MONzQD0EaH3M64e9Hd7Cg9dkcJpkO06T?usp=sharing;;;;;Javier Heredia
AYMURAI;Material complementario de la charla de Yazmín Belén Quiroga y Pablo Casas.;Repositorio;https://drive.google.com/drive/folders/0B9wNhp3GjjazZ2VCQVZmM3MwTTQ?resourcekey=0-s10MrFRR0gmOd1TgrDZs7g;https://aymurai.info/;Repositorio;Aymurai;;Yazmín Belén Quiroga y Pablo Casas
Publicaciones IALAB;Complemento de la charla de Mariana Sánchez Caparrós: Libros del UBA - IALAB.;Repositorio;https://www.ialab.com.ar/publicaciones;;;;;Mariana Sánchez Caparrós
Genero y Justicia;Gpt personalizado a fin de asistir en la aplicacion de perspectiva de genero a resoluciones judiciales.;GPT;https://chatgpt.com/g/g-680a68c433108191bd513fc39b079e9a-jpg-genero-y-justicia-victoria-santamaria;;;;;Victoria Santamaria y Sebastian Lujan
